package_name,latest_version,first_release_date,latest_release_date,homepage_url,repository_url,is_deprecated,is_archived,publisher,downloads_90d
legacy-forge,2.4.1,2017-03-15,2023-09-15,https://legacy-forge.dev,https://github.com/fake-legacy-forge/legacy-forge,false,false,legacy-forge-team,48000000
neglected-stream,1.7.0,2015-11-02,2023-07-10,https://github.com/fake-neglected/neglected-stream,https://github.com/fake-neglected/neglected-stream,false,false,one-maintainer,41000000
stale-bundle,3.0.2,2016-08-01,2023-11-04,https://github.com/fake-stale-bundle/stale-bundle,https://github.com/fake-stale-bundle/stale-bundle,false,false,stale-bundle-team,32000000
old-validator,4.2.0,2016-05-20,2023-10-18,https://old-validator.io,https://github.com/fake-old-validator/old-validator,false,false,ov-org,27500000
frozen-format,0.9.3,2015-01-11,2023-12-05,https://github.com/fake-frozen/frozen-format,https://github.com/fake-frozen/frozen-format,false,false,ff-authors,19800000
active-logger,5.6.3,2018-01-10,2026-04-01,https://active-logger.dev,https://github.com/fake-active/active-logger,false,false,active-org,92000000
fresh-parser,7.2.0,2019-06-22,2026-04-15,https://fresh-parser.dev,https://github.com/fake-fresh/fresh-parser,false,false,fresh-org,74000000
vibrant-router,3.4.0,2020-02-05,2026-03-20,https://vibrant-router.dev,https://github.com/fake-vibrant/vibrant-router,false,false,vibrant-collective,56000000
aged-template,2.1.4,2017-09-30,2023-08-05,https://github.com/fake-aged-template/aged-template,https://github.com/fake-aged-template/aged-template,false,false,aged-team,15200000
robust-cache,2.1.1,2018-09-18,2025-06-10,https://github.com/fake-robust/robust-cache,https://github.com/fake-robust/robust-cache,false,false,robust-core,38000000
steady-types,1.0.5,2020-07-11,2026-02-14,https://github.com/fake-steady/steady-types,https://github.com/fake-steady/steady-types,false,false,steady-inc,8100000
eventful-proxy,4.0.0,2019-01-15,2026-03-28,https://github.com/fake-eventful/eventful-proxy,https://github.com/fake-eventful/eventful-proxy,false,false,eventful-team,25000000
modest-codec,2.8.1,2020-05-22,2026-04-02,https://github.com/fake-modest/modest-codec,https://github.com/fake-modest/modest-codec,false,false,modest-devs,17500000
thorough-test,3.3.0,2019-11-10,2026-03-10,https://github.com/fake-thorough/thorough-test,https://github.com/fake-thorough/thorough-test,false,false,thorough-org,12800000
measured-worker,1.9.0,2020-09-01,2026-02-28,https://github.com/fake-measured/measured-worker,https://github.com/fake-measured/measured-worker,false,false,measured-collective,9400000
quiet-daemon,2.0.3,2018-03-30,2025-09-15,https://github.com/fake-quiet/quiet-daemon,https://github.com/fake-quiet/quiet-daemon,false,false,quiet-authors,6200000
constant-timer,1.4.0,2020-01-12,2026-04-08,https://github.com/fake-constant/constant-timer,https://github.com/fake-constant/constant-timer,false,false,constant-inc,4100000
minimal-queue,0.5.4,2021-02-05,2026-03-25,https://github.com/fake-minimal/minimal-queue,https://github.com/fake-minimal/minimal-queue,false,false,minimal-org,2900000
stable-hash,1.1.0,2019-03-04,2025-12-20,https://github.com/fake-stable/stable-hash,https://github.com/fake-stable/stable-hash,false,false,stable-devs,1900000
simple-xml,0.8.2,2020-11-22,2026-02-05,https://github.com/fake-simple/simple-xml,https://github.com/fake-simple/simple-xml,false,false,simple-team,850000
@types/legacy-forge,2.4.0,2018-06-30,2024-12-01,https://github.com/DefinitelyTyped/DefinitelyTyped,https://github.com/DefinitelyTyped/DefinitelyTyped,false,false,types-bot,52000000
archived-compiler,1.0.0,2014-02-10,2020-01-15,https://github.com/fake-archived/archived-compiler,https://github.com/fake-archived/archived-compiler,false,true,archived-org,6500000
newborn-cli,0.2.0,2025-11-20,2026-04-10,https://github.com/fake-newborn/newborn-cli,https://github.com/fake-newborn/newborn-cli,false,false,newborn-dev,1200000
orphan-package,0.8.1,2017-04-22,2024-08-03,,,false,false,ghost-publisher,2800000
